"Henri Jayer Echezeaux Grand Cru, Cote de Nuits, France",1990,929th,98/100,"$10,291 "
"Domaine Hubert Lignier Clos de la Roche Grand Cru, Cote de Nuits, France",2015,974th,98/100,$524 
"Bond St Eden, Napa Valley, USA",2013,"1,199th",98/100,$680 
"Tusk Estate Cabernet Sauvignon, Napa Valley, USA",2015,"1,201st",98/100,$845 
"Tusk Estate Cabernet Sauvignon, Napa Valley, USA",2013,"1,201st",98/100,$942 
"Tusk Estate Cabernet Sauvignon, Napa Valley, USA",2009,"1,201st",98/100,$717 
"Clos Saint-Jean Deus-Ex Machina Chateauneuf-du-Pape, Rhone, France",2010,"1,210th",98/100,$313 
"Torbreck The Laird, Barossa Valley, Australia",2008,"1,323rd",98/100,$709 
"Old Rip Van Winkle 'Pappy Van Winkle's Family Reserve' 13 Year Old Kentucky Straight Rye Whiskey, USA",,"1,336th",98/100,"$2,025 "
"Maybach Family Vineyards Materium Cabernet Sauvignon, Oakville, USA",2014,"1,429th",98/100,$426 
"Maybach Family Vineyards Materium Cabernet Sauvignon, Oakville, USA",2013,"1,429th",98/100,$440 
"Vine Hill Ranch 'VHR' Cabernet Sauvignon, Napa Valley, USA",2016,"1,482nd",98/100,$261 
"Schrader Cellars CCS Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley, USA",2007,"1,621st",98/100,"$1,318 "
"Domaine Leroy Corton-Charlemagne Grand Cru, Cote de Beaune, France",2001,"1,648th",98/100,"$3,902 "
"Sine Qua Non Cumulus Vineyard 'Next of Kyn', Central Coast, USA",2012,"1,780th",98/100,$503 
"Bodegas Toro Albala Don PX Convento Seleccion, Montilla-Moriles, Spain",1946,"1,882nd",98/100,$278 
"W & J Graham's 'The Stone Terraces' Vintage Port, Portugal",2017,"1,894th",98/100,$253 
"Realm Cellars The Absurd Proprietary Red, Napa Valley, USA",2016,"1,942nd",98/100,$753 
"Realm Cellars The Absurd Proprietary Red, Napa Valley, USA",2012,"1,942nd",98/100,$610 
"Domaine La Barroche Chateauneuf-du-Pape Pure, Rhone, France",2016,"1,976th",98/100,$152 
"Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon, St. Helena, USA",2016,"2,051st",98/100,$559 
"Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon, St. Helena, USA",2015,"2,051st",98/100,$549 
"Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon, St. Helena, USA",2014,"2,051st",98/100,$453 
"Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon, St. Helena, USA",2012,"2,051st",98/100,$498 
"Peter Michael 'Point Rouge' Chardonnay, Sonoma County, USA",2012,"2,120th",98/100,$473 
"Colgin Cellars Tychson Hill Vineyard Cabernet Sauvignon, Napa Valley, USA",2007,"2,263rd",98/100,$406 
"Kapcsandy Family Winery State Lane Vineyard Roberta's Reserve, Napa Valley, USA",2013,"2,410th",98/100,$536 
"Hundred Acre 'Few and Far Between' Cabernet Sauvignon, Napa Valley, USA",2013,"2,442nd",98/100,$703 
"Hundred Acre 'Few and Far Between' Cabernet Sauvignon, Napa Valley, USA",2012,"2,442nd",98/100,$662 
"Bruno Giacosa Collina Rionda, Barolo DOCG, Italy",1989,"2,857th",98/100,"$4,271 "
"Michel & Stephane Ogier Cote Rotie La Belle Helene, Rhone, France",1999,"2,890th",98/100,$747 
"Henriot Cuvee des Enchanteleurs Brut, Champagne, France",1964,"2,904th",98/100,"$1,474 "
"Domaine Pierre Usseglio et Fils Chateauneuf-du-Pape Reserve des Deux Freres, Rhone, France",2016,"3,997th",98/100,$174 
"Sine Qua Non The Gorgeous Victim, California, USA",2017,"4,198th",98/100,$334 
"Weingut Keller Niersteiner Pettenthal Riesling Grosses Gewachs, Rheinhessen, Germany",2017,"4,232nd",98/100,"$1,148 "
"Carter Cellars Beckstoffer To Kalon Vineyard The O.G. Cabernet Sauvignon, Napa Valley, USA",2016,"4,611th",98/100,$604 
"Christopher Tynan Wines Meleagris Gallopavo Vineyard Cabernet Sauvignon, Napa Valley, USA",2014,"6,663rd",98/100,$453 
"Quilceda Creek Galitzine Vineyard Cabernet Sauvignon, Red Mountain, USA",2014,"6,715th",98/100,$252 
"Odette Estate Reserve Cabernet Sauvignon, Stags Leap District, USA",2012,"7,084th",98/100,$566 
"Weingut Donnhoff Oberhauser Brucke Riesling Eiswein, Nahe, Germany",2009,"7,911th",98/100,$424 
"Weingut Donnhoff Oberhauser Brucke Riesling Eiswein, Nahe, Germany",2002,"7,911th",98/100,$980 
"Hundred Acre 'Precious' Cabernet Sauvignon, Napa Valley, USA",2010,"8,396th",98/100,$538 
"Hundred Acre 'Precious' Cabernet Sauvignon, Napa Valley, USA",2007,"8,396th",98/100,$637 
"Gialdi Merlot Sassi Grossi, Ticino, Switzerland",2014,"8,707th",98/100,$62 
"Cliff Lede Vineyards Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley, USA",2016,"8,744th",98/100,$296 
"Cliff Lede Vineyards Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley, USA",2015,"8,744th",98/100,$313 
"Sine Qua Non Stockholm Syndrome Eleven Confession Vineyard Syrah, Central Coast, USA",2010,"9,940th",98/100,"$1,053 "
"Russian River Brewing Company 'Pliny the Elder' Double IPA Beer, California, USA",,"10,997th",98/100,$9 
"Markus Molitor Zeltinger Sonnenuhr Riesling Trockenbeerenauslese, Mosel, Germany",2010,"11,591st",98/100,$853 
"Fairchild Estate Stones No. 1, Napa Valley, USA",2015,"12,235th",98/100,$500 
"Sine Qua Non Touche Syrah, California, USA",2012,"12,654th",98/100,$675 
"Philippe Foreau Domaine du Clos Naudin Vouvray Moelleux 'Goutte d'Or', Loire, France",2011,"12,737th",98/100,$252 
"Domaine de la Mordoree Chateauneuf-du-Pape La Plume du Peintre, Rhone, France",2005,"14,108th",98/100,$582 
"Paul Hobbs Cuvee Agustina Richard Dinner Vineyard Chardonnay, Sonoma Mountain, USA",2015,"14,304th",98/100,$72 
"Domaine Roulot L'Abricot du Roulot - Apricot Liqueur, France",,"15,335th",98/100,$88 
"Purlieu Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley, USA",2016,"17,098th",98/100,$229 
"Bruno Giacosa Vigneto Montefico, Barbaresco DOCG, Italy",1971,"42,040th",98/100,$627 
"Massandra Ai-Danil, Crimea",1931,"74,313th",98/100,$875 
"Forstmeister Geltz-Zilliken Saarburger Rausch Riesling Beerenauslese, Mosel, Germany",2005,"97,163rd",98/100,$295 
"Quinta do Mourao 'S. Leonardo' 60 Year Old Tawny Port, Portugal",,"120,688th",98/100,$727 
"Chateau Mouton Rothschild, Pauillac, France",2017,2nd,97/100,$521 
"Chateau Mouton Rothschild, Pauillac, France",2010,2nd,97/100,"$1,125 "
"Chateau Mouton Rothschild, Pauillac, France",2009,2nd,97/100,"$1,083 "
"Chateau Mouton Rothschild, Pauillac, France",1982,2nd,97/100,"$1,618 "
"Chateau Mouton Rothschild, Pauillac, France",1949,2nd,97/100,"$4,424 "
"Chateau Mouton Rothschild, Pauillac, France",1945,2nd,97/100,"$16,929 "
"Chateau Lafite Rothschild, Pauillac, France",2016,3rd,97/100,$825 
"Chateau Lafite Rothschild, Pauillac, France",2010,3rd,97/100,"$1,234 "
"Chateau Lafite Rothschild, Pauillac, France",2009,3rd,97/100,"$1,201 "
"Chateau Margaux, Margaux, France",2016,4th,97/100,$761 
"Chateau Margaux, Margaux, France",2010,4th,97/100,"$1,117 "
"Chateau Margaux, Margaux, France",2005,4th,97/100,"$1,044 "
"Chateau Margaux, Margaux, France",2000,4th,97/100,"$1,189 "
"Chateau Margaux, Margaux, France",1990,4th,97/100,"$1,324 "
"Petrus, Pomerol, France",2012,5th,97/100,"$3,022 "
"Petrus, Pomerol, France",2010,5th,97/100,"$4,191 "
"Petrus, Pomerol, France",2009,5th,97/100,"$4,100 "
"Petrus, Pomerol, France",2008,5th,97/100,"$3,043 "
"Petrus, Pomerol, France",2000,5th,97/100,"$5,346 "
"Petrus, Pomerol, France",1998,5th,97/100,"$3,891 "
"Petrus, Pomerol, France",1990,5th,97/100,"$5,140 "
"Petrus, Pomerol, France",1955,5th,97/100,"$3,272 "
"Petrus, Pomerol, France",1953,5th,97/100,"$3,913 "
"Chateau Latour, Pauillac, France",2005,6th,97/100,"$1,085 "
"Chateau Latour, Pauillac, France",2003,6th,97/100,"$1,022 "
"Chateau Latour, Pauillac, France",1982,6th,97/100,"$2,330 "
"Chateau Latour, Pauillac, France",1961,6th,97/100,"$4,594 "
"Chateau Haut-Brion, Pessac-Leognan, France",2009,9th,97/100,"$1,015 "
"Chateau Haut-Brion, Pessac-Leognan, France",1959,9th,97/100,"$2,476 "
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France",2016,10th,97/100,"$21,312 "
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France",2015,10th,97/100,"$22,981 "
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France",2014,10th,97/100,"$18,312 "
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France",2009,10th,97/100,"$21,161 "
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France",2001,10th,97/100,"$20,403 "
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France",2000,10th,97/100,"$20,987 "
